Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-09-30,OPT,PSE,Gaza Strip,31.469592588,34.4311510777,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118871,2025-10-16,2025-10-16,2025,9,1
2025-09-30,OPT,PSE,Gaza Strip,31.4519505824,34.4107247454,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118874,2025-10-16,2025-10-16,2025,9,1
2025-09-29,OPT,PSE,Gaza Strip,31.2830204,34.2805069,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118734,2025-10-13,2025-10-14,2025,9,1
2025-09-29,OPT,PSE,Gaza Strip,31.4851626,34.4146933,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118897,2025-10-16,2025-10-16,2025,9,1
2025-09-28,OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118694,2025-10-12,2025-10-12,2025,9,1
2025-09-26,OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118693,2025-10-12,2025-10-12,2025,9,1
2025-09-26,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118735,2025-10-13,2025-10-14,2025,9,1
2025-04-07,OPT,PSE,Gaza Strip,31.3576291134,34.2622931228,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Attack On a Market/Restaurant/Supermarket/Bakery, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95484,2025-05-02,2025-09-18,2025,4,1
2025-09-25,OPT,PSE,Gaza Strip,31.4586131,34.4442171,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118898,2025-10-16,2025-10-16,2025,9,1
2025-09-24,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118736,2025-10-13,2025-10-14,2025,9,1
2025-09-23,OPT,PSE,Gaza Strip,31.3084659,34.2865698,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118692,2025-10-12,2025-10-12,2025,9,1
2025-09-23,OPT,PSE,Gaza Strip,31.2830204,34.2805069,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118738,2025-10-13,2025-10-14,2025,9,1
2025-09-21,OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118739,2025-10-13,2025-10-14,2025,9,1
2025-09-21,OPT,PSE,Gaza Strip,31.4586131,34.4442171,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118899,2025-10-16,2025-10-16,2025,9,1
2025-09-20,OPT,PSE,Gaza Strip,31.2929274365,34.2498674442,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118687,2025-10-11,2025-10-14,2025,9,1
2025-09-20,OPT,PSE,Gaza Strip,31.2955677941,34.2862822227,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118722,2025-10-12,2025-10-14,2025,9,1
2025-09-20,OPT,PSE,Gaza Strip,31.3008482874,34.2816458269,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118740,2025-10-13,2025-10-14,2025,9,1
2025-09-20,OPT,PSE,Gaza Strip,31.4540002809,34.4112396557,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118873,2025-10-16,2025-10-16,2025,9,1
