Date,Country,Country ISO,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Vicinity of Health Facility Affected,Occupation of Health Facility,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Abducted,Health Supplies Taken,Access Denied or Obstructed,Health Workers Killed,Health Workers Injured,Health Workers Arrested,Health Workers Kidnapped,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Health Worker Profession,SiND Event ID,Year,Month,post_oct7
2024-12-31,OPT,PSE,32.4601429368,35.2877427919,(2) 25 km Precision ,Police,Palestinian National Security Forces,RPG,0,1,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,88062,2024,12,1
2024-12-30,OPT,PSE,31.5282137,34.4831674,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Firearms,0,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,87269,2024,12,1
2024-12-30,OPT,PSE,31.5038940682,34.4614505791,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Shelling,0,1,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,87268,2024,12,1
2024-12-29,OPT,PSE,31.5134844,34.4528214,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,0,1,0,0,0,0,0,0,0,False,3,0,0,0,,0,0,0,HospitalStaff,87267,2024,12,1
2024-12-29,OPT,PSE,31.5338797038,34.506565336,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Artillery,0,0,0,0,1,0,0,0,0,False,0,0,0,0,,0,0,0,,87263,2024,12,1
2024-12-27,OPT,PSE,31.5338797038,34.506565336,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Firearms,0,1,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,87262,2024,12,1
2024-12-27,OPT,PSE,31.5351927833,34.5093655515,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Firearms,0,0,0,1,0,0,0,0,0,True,0,0,0,0,,0,0,0,,87261,2024,12,1
2024-12-27,OPT,PSE,31.9512519022,35.2119326704,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Fist and Foot,0,0,0,0,0,0,0,0,0,False,0,1,0,0,,0,1,0,ProgrammeStaff,87780,2024,12,1
2024-12-27,OPT,PSE,31.5384016638,34.5013082588,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,1,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,87246,2024,12,1
2024-12-27,OPT,PSE,31.5384016638,34.5013082588,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Knife,0,0,1,0,0,0,0,0,0,True,1,1,0,2,"Killed, StillInCaptivity",0,1,2,"HeadOfProgramme, Nurse",87238,2024,12,1
2024-12-26,OPT,PSE,31.5384016638,34.5013082588,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,0,0,0,0,1,0,0,0,0,False,5,0,0,0,,0,0,0,"Doctor, Paramedic, Technician",87237,2024,12,1
2024-12-26,OPT,PSE,31.4523617091,34.3889486144,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,0,0,0,0,1,0,0,0,0,False,0,0,0,0,,0,0,0,,87260,2024,12,1
2024-12-25,OPT,PSE,32.3136127735,35.0349283566,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Firearms,0,0,0,0,0,0,0,0,0,False,0,1,0,0,,0,0,0,Paramedic,87279,2024,12,1
2024-12-25,OPT,PSE,31.9007323434,35.2115191508,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Firearms,0,0,0,0,0,0,0,0,0,True,0,0,0,0,,1,0,0,ProgrammeStaff,87779,2024,12,1
2024-12-24,OPT,PSE,31.5128679,34.4581358,"(3) District, Communicipality or Commune ",Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,0,0,0,0,0,0,0,0,0,False,2,0,0,0,,0,0,0,ProgrammeStaff,88386,2024,12,1
2024-12-24,OPT,PSE,31.5384016638,34.5013082588,(2) 25 km Precision ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,0,1,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,,87077,2024,12,1
