Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Food_Incidents_Count,Food_System_Impacts,Food_Security_Categories,Event_Description_Clean,Event_Description_Words,has_coords,Year,Month,post_oct7
2025-12-30,30 December 2025: 37 INGOs were to be banned from working in Gaza from 01 January by Israel forces unless they comply with guidelines requiring detailed information on Palestinian staff. ,OPT,PSE,Gaza Strip,31.5,34.4,"(4) Province, State, Governorate ",Government/Self-Declared Government,Government of Israel,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123022,2026-01-16,2026-02-04,,,,37 INGOs were to be banned from working in Gaza from 01 January by Israel forces unless they comply with guidelines requiring detailed information on Palestinian staff.,27,1,2025,12,1
2025-12-28,28 December 2025: A health worker was arrested by Israeli forces.,OPT,PSE,West Bank,31.9,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,125146,2026-02-23,2026-02-27,,,,A health worker was arrested by Israeli forces.,8,1,2025,12,1
2025-12-27,27 December 2025: An ambulance accessing an injured child was delayed for an unspecified number of hours by Israeli forces.,OPT,PSE,Judea and Samaria,32.3,35.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Project Site,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,AttacksOnEmergencyMedicalServices,NotApplicable,ChildrensHealthEvent,NotApplicable,NotApplicable,NotApplicable,125143,2026-02-23,2026-02-27,,,,An ambulance accessing an injured child was delayed for an unspecified number of hours by Israeli forces.,17,1,2025,12,1
2025-12-26,"Reported 26 December 2025: A NGO medical facility was forced to halt several services and rent a generator to serve emergency patients due to shortage of fuel. _x000D_
",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,EnergySupplies,123227,2026-01-20,2026-02-04,,,,Reported 26 December 2025: A NGO medical facility was forced to halt several services and rent a generator to serve emergency patients due to shortage of fuel. _x000D_,28,1,2025,12,1
2025-12-24,"24 December 2025: In a camp, LNGO ambulance teams were held inside the camp by Israeli forces. A coordination was reportedly organised to release the teams. ",OPT,PSE,West Bank,32.2,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,0,0,True,0,0,0,1,NoInformation,1,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123069,2026-01-17,2026-02-01,,,,"In a camp, LNGO ambulance teams were held inside the camp by Israeli forces. A coordination was reportedly organised to release the teams.",23,1,2025,12,1
2025-12-19,"19 December 2025: An education facility sheltering IDPs near a health center was shelled by Israeli forces artillery, killing at least six Palestinians, including children and a baby.",OPT,PSE,Gaza Strip,31.5,34.4,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Artillery,School,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123083,2026-01-17,2026-02-05,,,,"An education facility sheltering IDPs near a health center was shelled by Israeli forces artillery, killing at least six Palestinians, including children and a baby.",25,1,2025,12,1
2025-12-14,14 December 2025: An ambulance crew was blocked by Israeli forces from accessing a Palestinian who was critically injured by the same forces. ,OPT,PSE,West Bank,31.5,35.0,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123839,2026-01-29,2026-02-25,,,,An ambulance crew was blocked by Israeli forces from accessing a Palestinian who was critically injured by the same forces.,20,1,2025,12,1
2025-12-13,December 2025: The vicinity of a medical facility was fired upon by Israeli forces tanks.,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,ChildrensHealthEvent,NotApplicable,NotApplicable,NotApplicable,123226,2026-01-20,2026-01-23,,,,December 2025: The vicinity of a medical facility was fired upon by Israeli forces tanks.,15,1,2025,12,1
2025-12-07,07 December 2025: An ambulance was vandalised and a medical health care worker was detained by Israeli forces. ,OPT,PSE,West Bank,31.9,35.2,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,1,0,False,0,0,0,1,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122683,2026-01-11,2026-02-04,,,,An ambulance was vandalised and a medical health care worker was detained by Israeli forces.,15,1,2025,12,1
2025-12-07,07 December 2025: An ambulance was blocked by Israeli forces from passing to Ramallah. ,OPT,PSE,West Bank,31.8,35.1,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,0,0,0,0,0,0,True,0,0,0,2,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122684,2026-01-11,2026-02-04,,,,An ambulance was blocked by Israeli forces from passing to Ramallah.,11,1,2025,12,1
