Date,Event Description,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Occupation of Health Facility,Vicinity of Health Facility Affected,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Attacks on Emergency Medical Services,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,_source,Looting/Theft/Robbery/Burglary of Health Supplies,Access Denied or Obstructed,Reported Health Worker Profession,description_clean,sgbv_type,severity_score,severity_label,Year,Month,Month_Name,Year_Month,Quarter,Week,Day_of_Week,post_oct7,Period_Binary,Conflict_Phase,Weapon_Category,Perpetrator_Simple,Total_Casualties,Severity_Score,Severity_Label,Has_Casualties,Lethal_Incident,Facility_Destroyed,Facility_Damaged,Forceful_Entry,Transport_Destroyed,Transport_Damaged,Transport_Stolen,Facility_Attack,Transport_Attack,Access_Disruption,Region,Desc_Word_Count,Desc_Char_Count,kw_hospital,kw_ambulance,kw_doctor,kw_nurse,kw_paramedic,kw_red_crescent,kw_un_staff,kw_mass_casualty,Map_Color,Map_Radius,protected_entity,residential_strike,children_affected,mass_casualty,repeat_target_text,days_since_oct7,days_since_last_attack,is_weekend,month_count,month_velocity_pct,targeting_score,targeting_label,targeting_map,casualty_intensity,topic,topic_reduced,theme,mode
2025-12-30,30 December 2025: 37 INGOs were to be banned from working in Gaza from 01 January by Israel forces unless they comply with guidelines requiring detailed information on Palestinian staff. ,Gaza Strip,31.5,34.4,"(4) Province, State, Governorate ",Government/Self-Declared Government,Government of Israel,Not Applicable: No Direct Violence,Administration,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123022,2026-01-16,2026-02-04,insec,,,,37 INGOs were to be banned from working in Gaza from 01 January by Israel forces unless they comply with guidelines requiring detailed information on Palestinian staff.,none,0,minimal,2025,12,December,2025-12,2025Q4,1,Tuesday,1,Post Oct 7 2023,Jul 2024 onward,No Direct Violence,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Gaza Strip,27,168,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,815,2.0,0,18,5.882352941176472,0,,Not flagged,0,-1,4,Fuel & Supply Deprivation,Access Denial
2025-12-28,28 December 2025: A health worker was arrested by Israeli forces.,West Bank,31.9,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,False,0,0,0,1,NoInformation,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,125146,2026-02-23,2026-02-27,insec,,,,A health worker was arrested by Israeli forces.,none,1,low,2025,12,December,2025-12,2025Q4,52,Sunday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,1,1.0,Low,1,0,0,0,0,0,0,0,0,0,0,West Bank,8,47,0,0,0,0,0,0,0,0,#4a90d9,4.8,0,0,0,0,0,813,1.0,0,18,5.882352941176472,0,,Not flagged,0,3,3,Arrests & Detentions,Detention
2025-12-27,27 December 2025: An ambulance accessing an injured child was delayed for an unspecified number of hours by Israeli forces.,Judea and Samaria,32.3,35.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Project Site,0,0,True,0,0,0,0,,0,0,0,AttacksOnEmergencyMedicalServices,ChildrensHealthEvent,NotApplicable,NotApplicable,NotApplicable,125143,2026-02-23,2026-02-27,insec,,,,An ambulance accessing an injured child was delayed for an unspecified number of hours by Israeli forces.,none,0,minimal,2025,12,December,2025-12,2025Q4,52,Saturday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,Judea and Samaria,17,105,0,1,0,0,0,0,0,0,#4a90d9,4.0,0,0,1,0,0,812,1.0,1,18,5.882352941176472,0,,Not flagged,0,1,1,Red Cross / Crescent Targeting,Direct Violence
2025-12-26,"Reported 26 December 2025: A NGO medical facility was forced to halt several services and rent a generator to serve emergency patients due to shortage of fuel. _x000D_
",Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,EnergySupplies,123227,2026-01-20,2026-02-04,insec,,,,A NGO medical facility was forced to halt several services and rent a generator to serve emergency patients due to shortage of fuel. _x000D_,none,0,minimal,2025,12,December,2025-12,2025Q4,52,Friday,1,Post Oct 7 2023,Jul 2024 onward,No Direct Violence,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,24,140,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,811,2.0,1,18,5.882352941176472,0,,Not flagged,0,4,4,Fuel & Supply Deprivation,Access Denial
2025-12-24,"24 December 2025: In a camp, LNGO ambulance teams were held inside the camp by Israeli forces. A coordination was reportedly organised to release the teams. ",West Bank,32.2,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,True,0,0,0,1,NoInformation,1,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123069,2026-01-17,2026-02-01,insec,,,,"In a camp, LNGO ambulance teams were held inside the camp by Israeli forces. A coordination was reportedly organised to release the teams.",none,1,low,2025,12,December,2025-12,2025Q4,52,Wednesday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,1,1.5,Low,1,0,0,0,0,0,0,0,0,0,1,West Bank,23,138,0,1,0,0,0,0,0,0,#4a90d9,5.2,0,0,0,0,0,809,5.0,0,18,5.882352941176472,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2025-12-19,"19 December 2025: An education facility sheltering IDPs near a health center was shelled by Israeli forces artillery, killing at least six Palestinians, including children and a baby.",Gaza Strip,31.5,34.4,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Artillery,School,0,1,False,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123083,2026-01-17,2026-02-05,insec,,,,"An education facility sheltering IDPs near a health center was shelled by Israeli forces artillery, killing at least six Palestinians, including children and a baby.",none,0,minimal,2025,12,December,2025-12,2025Q4,51,Friday,1,Post Oct 7 2023,Jul 2024 onward,Artillery/Shelling,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,25,165,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,1,0,0,804,5.0,1,18,5.882352941176472,0,,Not flagged,0,6,6,Attacks on Displaced / Shelters,Direct Violence
2025-12-14,14 December 2025: An ambulance crew was blocked by Israeli forces from accessing a Palestinian who was critically injured by the same forces. ,West Bank,31.5,35.0,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,Road,0,0,True,0,0,0,0,,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123839,2026-01-29,2026-02-25,insec,,,,An ambulance crew was blocked by Israeli forces from accessing a Palestinian who was critically injured by the same forces.,none,0,minimal,2025,12,December,2025-12,2025Q4,50,Sunday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,1,West Bank,20,123,0,1,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,799,1.0,0,18,5.882352941176472,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2025-12-13,December 2025: The vicinity of a medical facility was fired upon by Israeli forces tanks.,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Artillery,Health Building,0,1,False,0,0,0,0,,0,0,0,NotApplicable,ChildrensHealthEvent,NotApplicable,NotApplicable,NotApplicable,123226,2026-01-20,2026-01-23,insec,,,,December 2025: The vicinity of a medical facility was fired upon by Israeli forces tanks.,none,0,minimal,2025,12,December,2025-12,2025Q4,50,Saturday,1,Post Oct 7 2023,Jul 2024 onward,Artillery/Shelling,Israeli Forces,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Gaza Strip,15,89,0,0,0,0,0,0,0,0,#4a90d9,4.0,0,0,0,0,0,798,6.0,1,18,5.882352941176472,0,,Not flagged,0,-1,0,Airstrikes & Killings,Direct Violence
2025-12-07,07 December 2025: An ambulance was vandalised and a medical health care worker was detained by Israeli forces. ,West Bank,31.9,35.2,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,False,0,0,0,1,NoInformation,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122683,2026-01-11,2026-02-04,insec,,,,An ambulance was vandalised and a medical health care worker was detained by Israeli forces.,none,1,low,2025,12,December,2025-12,2025Q4,49,Sunday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,1,1.0,Low,1,0,0,0,0,0,1,0,0,1,0,West Bank,15,92,0,1,0,0,0,0,0,0,blue,4.8,0,0,0,0,0,792,0.0,0,18,5.882352941176472,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
2025-12-07,07 December 2025: An ambulance was blocked by Israeli forces from passing to Ramallah. ,West Bank,31.8,35.1,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Checkpoint,0,0,True,0,0,0,2,NoInformation,0,0,0,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122684,2026-01-11,2026-02-04,insec,,,,An ambulance was blocked by Israeli forces from passing to Ramallah.,none,2,low,2025,12,December,2025-12,2025Q4,49,Sunday,1,Post Oct 7 2023,Jul 2024 onward,Gunfire/Small Arms,Israeli Forces,2,2.0,Low,1,0,0,0,0,0,0,0,0,0,1,West Bank,11,68,0,1,0,0,0,0,0,0,#4a90d9,5.6,0,0,0,0,0,792,3.0,0,18,5.882352941176472,0,,Not flagged,0,2,2,Ambulance Access Denied,Access Denial
